CO,NO2,Ozone,SO2,AQI,AQI_Level
0.43,29.94,67.24,12.84,90.984,Moderate
6.17,54.56,23.91,21.14,67.7,Moderate
0.3,16.4,147.99,13.01,245.2235106,Very Unhealthy
2.03,62.37,67.27,16.76,91.082,Moderate
3.97,66.83,66.53,18.96,88.66466667,Moderate
6.65,59.68,33.63,18.03,72.5,Moderate
1.16,49.29,44.81,17,46.5,Good
1.17,44.15,50.89,15.71,47.12037037,Good
33.12,97.01,19.34,14.72,301,Hazardous
17.81,56.35,29.99,15.6,216.3483221,Very Unhealthy
1.76,39.01,49.78,21.88,46.09259259,Good
2,60.77,61.18,23.17,71.188,Moderate
4.18,62.04,70.21,20.29,59.56434783,Moderate
4.18,68.84,57.15,16.71,66.80782609,Moderate
1.79,47.37,60.33,23.86,68.41133333,Moderate
1.89,59.64,74.96,28.28,114.86,Unhealthy for sensitive groups
1.84,70.97,91.78,28.93,165.9063158,Unhealthy
10.84,100.26,80.37,28.45,133.795,Unhealthy for sensitive groups
8.12,86.8,59.77,26.76,87.2,Moderate
6.29,24.79,100.48,27.77,188.3431579,Unhealthy
2.43,32.15,63.3,19.83,78.11333333,Moderate
1.02,30.15,87.85,18.77,155.7710526,Unhealthy
1.05,40.61,77.05,18.35,122.175,Unhealthy for sensitive groups
1.02,77.88,95.69,20.5,175.99,Unhealthy
0.96,63.85,106.41,22.58,201.4318085,Very Unhealthy
1.54,106.08,93.41,31.77,170.11,Unhealthy
1.78,133.68,112.53,30.21,207.8773404,Very Unhealthy
1.31,126.67,98.71,28.61,183.7784211,Unhealthy
2.03,149.45,110.16,35,205.3812766,Very Unhealthy
9.83,140.94,78.43,36.14,127.005,Unhealthy for sensitive groups
1.31,91.29,78.21,38.31,126.235,Unhealthy for sensitive groups
1.14,64.84,69.26,45.8,97.58266667,Moderate
5.36,74.5,49.07,32.45,72.83695652,Moderate
10.1,26.79,94.58,32.98,173.1273684,Unhealthy
3,35.69,98.65,49.17,183.6236842,Unhealthy
3.31,94.26,41.91,9.74,93.88565217,Moderate
6.06,56,24.48,4.8,66.6,Moderate
1.78,80.98,73.08,11.18,108.28,Unhealthy for sensitive groups
10.25,84.2,60.45,12.06,113.6724138,Unhealthy for sensitive groups
1.66,33.53,89.3,11.26,159.5105263,Unhealthy
2.58,77.05,41.05,10.82,75.55326087,Moderate
1.78,44.9,50.28,10.2,46.55555556,Good
2.77,69.51,55.56,15.56,67.52152174,Moderate
2.16,47.82,66.72,12.81,89.28533333,Moderate
1.71,64.23,59.7,13.66,66.35333333,Moderate
1.88,72.74,98.44,24.83,183.0821053,Unhealthy
2.81,85.54,45.45,13.55,84.59695652,Moderate
1.09,59.11,52.25,14.35,56.44326087,Moderate
0.97,83.2,126.93,22.68,223.0432979,Very Unhealthy
0.91,78.97,57.91,18.01,77.59847826,Moderate
8.65,88.13,57.91,13.06,92.5,Moderate
2.68,69.45,63.4,16.33,78.44,Moderate
1.03,65.31,53.19,14.88,63.0476087,Moderate
1.02,47.22,75.64,13.38,117.24,Unhealthy for sensitive groups
14.96,87.18,54.95,12.07,192.5655172,Unhealthy
7.14,88.75,28.05,10.4,88.01630435,Moderate
6.41,59.24,57.89,10.71,70.1,Moderate
32.24,145.03,25.17,6.07,301,Hazardous
1.33,19.28,90.37,7.94,162.27,Unhealthy
2.74,102.03,19.33,8.34,101.509798,Unhealthy for sensitive groups
1.47,26.64,100.4,16.38,188.1368421,Unhealthy
1.89,46.39,69.35,12.43,97.87666667,Moderate
1.51,25.04,17.95,9.85,23.62264151,Good
1.43,29.81,10.15,7.78,28.12264151,Good
1.57,30.64,19.08,8.59,28.90566038,Good
1.92,48.85,13.96,7.16,46.08490566,Good
1.82,55.75,12.12,5.2,52.86413043,Moderate
2.07,64.08,36.27,5.46,61.7373913,Moderate
3,89.93,29.04,4.98,89.27326087,Moderate
2.08,62.44,41.97,5.81,59.99043478,Moderate
2.96,108.33,50.45,6.92,104.6279798,Unhealthy for sensitive groups
2.68,101.05,42.45,4.43,101.0247475,Unhealthy for sensitive groups
1.93,50.65,29.83,5.12,47.78301887,Good
1.94,59.87,32.08,2.44,57.25282609,Moderate
1.84,66.61,16.69,2.72,64.4323913,Moderate
2.09,75.6,18.72,3.96,74.00869565,Moderate
2.32,74.94,27.58,4.36,73.30565217,Moderate
1.88,59.13,41.83,8.64,56.46456522,Moderate
1.8,52.84,23.83,4.55,49.8490566,Good
1.36,41.48,19.14,7.43,39.13207547,Good
1.57,37.16,22.04,5.1,35.05660377,Good
1.91,40.85,33.09,10.84,38.53773585,Good
1.64,40.13,30.55,5.38,37.85849057,Good
1.77,53.05,29.26,5.69,27.09259259,Good
1.59,49.92,30.06,6.07,47.09433962,Good
1.75,35.43,22.5,29.72,42.45714286,Good
1.39,30.37,19.38,5.22,28.6509434,Good
1.57,18.15,16.72,5.87,17.84090909,Good
2.02,51.72,15.96,7.5,48.79245283,Good
1.78,49.95,19.77,4.88,47.12264151,Good
2.22,68.35,17.67,4.04,66.28586957,Moderate
2.59,68.99,25.11,5.23,66.9676087,Moderate
2.08,62.04,14.32,7.21,59.56434783,Moderate
17.17,54.1,17.55,4.58,212.0959732,Very Unhealthy
4.63,35.94,24.48,5.5,52.3,Moderate
1.69,31.81,16.71,7.05,30.00943396,Good
2.27,48.56,16.11,6.2,45.81132075,Good
1.48,33.78,15.65,5.75,31.86792453,Good
1.5,39.75,16.32,6.47,37.5,Good
2.57,48.71,30.09,17.54,45.95283019,Good
2.17,34.08,29.2,5.39,32.1509434,Good
1.96,63.72,47.69,5.89,61.35391304,Moderate
1.33,51.23,20.38,4.73,48.33018868,Good
1.1,40.42,22.44,5.13,38.13207547,Good
2.29,45.51,20.92,9.02,42.93396226,Good
1.1,44.13,23.75,5.84,41.63207547,Good
1.22,49.75,25.01,6.85,46.93396226,Good
0.98,37.79,22.83,5.13,35.6509434,Good
0.76,26.07,22.25,6.29,24.59433962,Good
0.79,33.19,22.27,5.04,31.31132075,Good
0.99,34.36,21.21,3.9,32.41509434,Good
0.92,34.38,20.29,5.65,32.43396226,Good
0.84,37.76,20.25,6.04,35.62264151,Good
0.94,35.4,20.97,5.95,33.39622642,Good
1.08,39.19,23.94,5.77,36.97169811,Good
0.97,38.33,25.53,5.46,36.16037736,Good
1.12,41.54,31.07,6.14,39.18867925,Good
1.19,54.42,29.55,5.79,51.4473913,Moderate
1.56,64.88,55.74,8.07,62.58956522,Moderate
1.23,41.26,21.84,5.97,38.9245283,Good
1.41,57.1,21.24,6.17,54.30217391,Moderate
1.61,50.85,48.74,8.69,47.97169811,Good
1.85,67.48,23.33,7.7,65.35913043,Moderate
1.16,39.09,23.94,6.67,36.87735849,Good
2.23,57.43,30.09,13.49,54.65369565,Moderate
1.17,57.11,34.15,8.77,54.31282609,Moderate
0.99,54.79,37.75,12.96,51.84152174,Moderate
0.99,48.97,28.46,11.05,46.19811321,Good
1.14,55.89,29.76,10.27,53.01326087,Moderate
1.19,58.31,27.36,13.19,55.59108696,Moderate
0.67,41.38,18.34,3.37,39.03773585,Good
0.49,30.33,26.44,5.96,28.61320755,Good
0.66,40.09,19.77,8.01,37.82075472,Good
0.99,44.31,19.25,9.3,41.80188679,Good
1.05,41.57,24.46,10.77,39.21698113,Good
0.85,44.57,17.67,9.25,42.04716981,Good
0.94,36.69,18.58,7.77,34.61320755,Good
1.1,47.56,38.93,6.65,44.86792453,Good
1.28,49.69,20.41,8.24,46.87735849,Good
1.39,62.07,31.07,9.62,59.59630435,Moderate
1.04,60.13,30.87,9.69,57.52978261,Moderate
1.07,49.15,20.15,7,46.36792453,Good
0.81,38.54,19.84,9.56,36.35849057,Good
0.73,39.69,16.41,7.91,37.44339623,Good
0.74,41.13,31.03,9.47,38.80188679,Good
0.66,48.74,37.47,8.71,45.98113208,Good
1.47,57.56,55.64,9.47,54.79217391,Moderate
1.7,73.32,47.04,12.2,71.58,Moderate
0.68,27.77,86.49,8.86,152.2636842,Unhealthy
1.18,69.83,62.77,7.11,76.382,Moderate
0.83,48.86,102.04,7.49,192.3663158,Unhealthy
1.02,71.23,67.67,8.31,92.38866667,Moderate
1.08,77.86,79.01,9.71,129.035,Unhealthy for sensitive groups
1.4,91.58,82.78,8.89,142.23,Unhealthy for sensitive groups
1.63,77.33,85.13,8.53,75.85152174,Moderate
2.26,110.84,98.3,7.42,182.7210526,Unhealthy
1.86,105.19,101.78,7.05,191.6957895,Unhealthy
1.49,68.85,59.38,8.42,66.81847826,Moderate
1.44,83.16,62.67,8.31,82.06173913,Moderate
1.39,75.02,28.79,9.63,73.39086957,Moderate
1.12,57.58,42.92,7.82,54.81347826,Moderate
1.12,53.16,53.63,6.03,49.65740741,Good
0.78,39.21,37.01,7.68,36.99056604,Good
0.75,35.06,29.8,12.42,33.0754717,Good
0.55,31.17,36.37,11.62,33.67592593,Good
1.05,47.27,42.97,10.46,44.59433962,Good
1.58,61.47,44.99,10.59,58.95717391,Moderate
2.37,57.16,40.18,12.21,54.36608696,Moderate
3.03,47.06,63.4,12.65,78.44,Moderate
1.5,42.7,52.87,9.78,48.9537037,Good
1.65,74.31,52.54,8.94,72.63456522,Moderate
1.23,74.36,75.21,11.84,115.735,Unhealthy for sensitive groups
1.31,94.37,94.45,12.2,172.7921053,Unhealthy
2.38,104.01,85.73,11.84,102.489798,Unhealthy for sensitive groups
1.83,106.36,85.4,14.71,103.6529293,Unhealthy for sensitive groups
3.57,146.16,74.9,14.23,123.3519192,Unhealthy for sensitive groups
3.96,131.51,97.17,18.94,179.8068421,Unhealthy
4.02,126.75,48.54,15.89,113.7449495,Unhealthy for sensitive groups
2.84,122.66,29.42,12.68,111.7206061,Unhealthy for sensitive groups
1.37,79.87,123.81,10.7,219.7573404,Very Unhealthy
2.61,105.22,62.09,14.85,103.0886869,Unhealthy for sensitive groups
3.11,89.35,48.98,11.61,88.65543478,Moderate
3.07,75.76,44.35,13.53,74.17913043,Moderate
2.75,74.25,40.11,13.92,72.57065217,Moderate
2.55,76.19,39.07,13.47,74.63717391,Moderate
1.46,64.24,48.27,9.25,61.90782609,Moderate
1.46,82.67,67.89,11.89,93.10733333,Moderate
3.26,109.96,82.93,12.89,142.755,Unhealthy for sensitive groups
3.09,177.28,15.95,15.03,138.7547475,Unhealthy for sensitive groups
3.49,114.34,85.06,12.93,107.6026263,Unhealthy for sensitive groups
4.28,124.89,76.04,16.93,118.64,Unhealthy for sensitive groups
2.89,118.05,95.3,15.57,174.9842105,Unhealthy
2.67,100.01,77.06,25.11,122.21,Unhealthy for sensitive groups
3.99,122.8,85.87,26.76,111.789899,Unhealthy for sensitive groups
4.88,117.49,76.81,22.28,121.335,Unhealthy for sensitive groups
1.33,78.56,88.68,21.58,157.9115789,Unhealthy
3.56,107.05,68.18,19.67,103.9944444,Unhealthy for sensitive groups
4.12,90.11,34.68,20.3,89.465,Moderate
4.3,84.81,62.99,29.04,83.81934783,Moderate
4.3,91.18,28.79,27.65,90.60478261,Moderate
2.13,109.15,154.74,102.17,252.3325532,Very Unhealthy
4.87,94.81,83.56,62.93,144.96,Unhealthy for sensitive groups
5.71,110.75,62.08,48.78,105.8257576,Unhealthy for sensitive groups
5.32,91.2,72.24,53.36,105.34,Unhealthy for sensitive groups
3.71,93.17,41.23,29.25,92.72456522,Moderate
1.71,65.52,62.6,28.86,75.82666667,Moderate
3.64,139.85,50.18,36.59,120.2287879,Unhealthy for sensitive groups
4.54,139.68,35.2,30.26,120.1446465,Unhealthy for sensitive groups
1.71,89.27,92.13,61.19,166.8089474,Unhealthy
6.33,89.26,81.74,61.6,138.59,Unhealthy for sensitive groups
3.3,101.91,55.48,37.53,101.450404,Unhealthy for sensitive groups
1.95,76.85,89.52,59.12,160.0778947,Unhealthy
2.68,103.15,66.45,31.83,102.0641414,Unhealthy for sensitive groups
2.45,100.11,52.43,28.9,48.5462963,Good
2.45,102.18,79.21,29.43,129.735,Unhealthy for sensitive groups
5.25,103.04,16.74,46.29,102.009697,Unhealthy for sensitive groups
12.12,128.78,5.4,39.81,145.2689655,Unhealthy for sensitive groups
4.81,76.84,46.34,38.51,75.32956522,Moderate
5.34,107.55,36.85,40.49,104.2419192,Unhealthy for sensitive groups
5.29,113.89,33.86,43.64,107.379899,Unhealthy for sensitive groups
5.04,95.3,47.73,38.02,94.99347826,Moderate
4.75,94.76,46.4,41.03,94.41826087,Moderate
5.22,105.47,39.52,47.27,103.2124242,Unhealthy for sensitive groups
5.62,106.54,39.03,51.71,103.7420202,Unhealthy for sensitive groups
2.35,91.71,39.03,29.93,91.16934783,Moderate
2.4,84.75,51.02,44.67,83.75543478,Moderate
2.86,94.35,42.36,29.46,93.98152174,Moderate
2.24,60.58,33.84,23.74,58.00913043,Moderate
2.42,112.69,32.96,48.71,106.7859596,Unhealthy for sensitive groups
5.88,88.32,41.17,46.67,87.55826087,Moderate
3.04,82.54,59.42,24.45,81.40130435,Moderate
2.45,85.33,14.8,49.67,84.37326087,Moderate
2.92,74.65,16.84,32.57,72.99673913,Moderate
1.69,79.47,19.98,23.28,78.13108696,Moderate
6.02,65.95,23.02,54.92,74.77128205,Moderate
6.23,67.73,25.24,48.86,68.3,Moderate
4.37,54.32,26.09,37.3,52.63333333,Moderate
5.33,58.78,21.57,39.49,59.3,Moderate
5.76,67.41,21.82,35.84,65.28456522,Moderate
2.57,76.46,24.66,26.91,74.92478261,Moderate
3.41,87.7,14.36,33.86,86.89782609,Moderate
2.58,73.23,13.2,35.25,71.48413043,Moderate
1.66,77.25,19.29,31.99,75.76630435,Moderate
2,102.54,63,57.58,101.7622222,Unhealthy for sensitive groups
6.02,93.24,58.86,47.23,92.79913043,Moderate
1.74,100.62,74.95,28.13,114.825,Unhealthy for sensitive groups
2.02,77.2,68.3,28.87,94.44666667,Moderate
2.02,85.13,75.14,41.23,115.49,Unhealthy for sensitive groups
2.72,88.36,68.95,38.74,96.57,Moderate
1.37,82.06,88.58,31.62,157.6536842,Unhealthy
1.45,89.88,71.52,36.88,102.82,Unhealthy for sensitive groups
2.13,96.18,53.69,35.1,95.93086957,Moderate
4.55,81.63,51.37,40.04,80.43195652,Moderate
4.4,115.15,46.44,42.4,108.0035354,Unhealthy for sensitive groups
3.03,80.66,53.93,50.1,79.39869565,Moderate
2.57,94.62,60.68,34.22,94.26913043,Moderate
5.89,96.71,17.02,68.02,96.49543478,Moderate
4.56,112.14,43.08,45.34,106.5137374,Unhealthy for sensitive groups
7.89,125.64,16.63,54.1,113.1955556,Unhealthy for sensitive groups
7.15,91.13,43.75,39.43,90.55152174,Moderate
5.91,75.97,37.43,36.79,74.40282609,Moderate
1.78,74.18,33.98,30.96,72.49608696,Moderate
2.06,83.99,57.44,28.16,82.94586957,Moderate
5.37,58.25,77.95,46.77,125.325,Unhealthy for sensitive groups
4.77,68.3,70.3,48.53,66.74282051,Moderate
2.7,86.53,67.53,25.9,91.93133333,Moderate
1.67,76.16,47.27,20.45,74.60521739,Moderate
1.63,67.07,26.34,19.96,64.9223913,Moderate
0.91,51.88,58.83,17.73,63.51133333,Moderate
1.1,74.02,50.18,28.16,72.32565217,Moderate
3.04,83.42,53,30.64,82.33869565,Moderate
2.39,93.26,27.53,24.69,92.82043478,Moderate
1.64,81.89,72.1,30.53,104.85,Unhealthy for sensitive groups
1.82,78.8,80.84,24.2,135.44,Unhealthy for sensitive groups
3.37,89.99,79.01,34.83,129.035,Unhealthy for sensitive groups
3.16,87.64,94.46,27.03,172.8178947,Unhealthy
3.48,100.93,75.41,33.26,116.435,Unhealthy for sensitive groups
1.64,85.41,57.34,29.12,84.45847826,Moderate
2.65,101.79,55.09,26.88,101.3910101,Unhealthy for sensitive groups
2.93,87.27,67.39,24.54,91.474,Moderate
4.74,93.3,34.62,52.42,92.86304348,Moderate
4.04,110.44,47.28,38.04,105.6723232,Unhealthy for sensitive groups
3.9,123.01,48.64,45.14,111.8938384,Unhealthy for sensitive groups
6.81,111.57,43.92,39.84,106.2316162,Unhealthy for sensitive groups
1.35,84.08,48.16,25.47,83.04173913,Moderate
1.47,92.86,59.33,25.91,92.39434783,Moderate
1.86,92.55,63.4,45.96,92.06413043,Moderate
1.32,95.29,62.17,34.53,94.98282609,Moderate
2.77,99.37,74.21,61.51,112.235,Unhealthy for sensitive groups
4.55,85.88,67.39,49.45,91.474,Moderate
2.11,109.35,38.61,28.29,105.1328283,Unhealthy for sensitive groups
1.57,72,48.88,28.44,70.17391304,Moderate
1.92,80.27,59.99,30.79,78.98326087,Moderate
2.76,93.01,77.86,40.34,125.01,Unhealthy for sensitive groups
2.72,76.75,74.93,27.82,114.755,Unhealthy for sensitive groups
2.73,99.01,49.22,39.52,98.94543478,Moderate
1.77,94.84,33.39,30.75,94.50347826,Moderate
1.28,63.37,62.42,27.66,75.23866667,Moderate
1.69,84.15,64.22,30.52,83.11630435,Moderate
1.62,90.78,68.38,39.45,94.708,Moderate
1.62,106.48,57.79,41.08,103.7123232,Unhealthy for sensitive groups
1.85,100.71,26.6,40.93,57.19410256,Moderate
1.94,77.46,31.18,44.15,75.99,Moderate
2.94,65.57,22.83,33.66,63.32456522,Moderate
0.88,30.73,60.93,17.89,70.37133333,Moderate
0.88,44.93,93.75,28.19,170.9868421,Unhealthy
1.08,76.62,80.42,60.87,133.97,Unhealthy for sensitive groups
3.65,128.7,43.29,95.35,114.710101,Unhealthy for sensitive groups
3.34,127.19,54.59,29.71,113.9627273,Unhealthy for sensitive groups
1.62,69.04,79.27,21.47,129.945,Unhealthy for sensitive groups
3.85,116.24,75.37,41.44,116.295,Unhealthy for sensitive groups
3.5,95.78,68.2,37.93,95.50478261,Moderate
4.19,103.84,82.02,3.72,139.57,Unhealthy for sensitive groups
3.67,113.32,81.24,10.12,136.84,Unhealthy for sensitive groups
2.05,88.78,74.49,10.16,113.215,Unhealthy for sensitive groups
1.33,65.78,64.24,27.56,81.184,Moderate
1.18,52.7,83.4,79.48,144.4,Unhealthy for sensitive groups
1.62,69.13,78.03,101.27,125.605,Unhealthy for sensitive groups
0.62,48.78,127.64,44.25,223.7910638,Very Unhealthy
2.92,74.91,64.62,74.56,99.44717949,Moderate
0.77,33.63,158.46,108.56,256.2504255,Very Unhealthy
1.11,69.08,71.89,38.49,104.115,Unhealthy for sensitive groups
1.21,77.61,64.35,98.09,110.930367,Unhealthy for sensitive groups
3.54,103.34,59.96,27.18,102.1581818,Unhealthy for sensitive groups
2.44,65,74.5,29.95,113.25,Unhealthy for sensitive groups
1.49,63.01,73.97,26.82,111.395,Unhealthy for sensitive groups
1.5,29.24,123.41,21.87,219.3360638,Very Unhealthy
1.5,46.55,112.58,32.09,207.93,Very Unhealthy
1.32,76.1,86.3,32.37,151.7736842,Unhealthy
2.63,91.98,87.14,35.02,153.94,Unhealthy
1.87,75.58,34.86,30.65,73.9873913,Moderate
0.79,42.11,88.34,26.72,157.0347368,Unhealthy
1.11,69.89,88.5,45,157.4473684,Unhealthy
1.01,69.25,98.34,45.97,182.8242105,Unhealthy
3.55,103.19,60.1,37.78,102.0839394,Unhealthy for sensitive groups
1.02,69.79,96.6,44.58,178.3368421,Unhealthy
1.1,62.88,73.99,30.22,111.465,Unhealthy for sensitive groups
0.57,36.92,118.57,29.67,214.238617,Very Unhealthy
0.75,48.14,111.83,39.26,207.1401064,Very Unhealthy
1.87,72.2,80.91,55.57,135.685,Unhealthy for sensitive groups
1.7,81.6,82.56,56.1,141.46,Unhealthy for sensitive groups
5.43,135.09,26.51,51.91,117.8728283,Unhealthy for sensitive groups
0.34,20.7,120.04,22.92,215.7868085,Very Unhealthy
0.87,55.88,66.82,33.06,89.612,Moderate
2.72,93.65,74.49,52.57,113.215,Unhealthy for sensitive groups
1.82,67.15,80.24,49.61,133.34,Unhealthy for sensitive groups
0.75,47.06,117.38,35.47,212.9853191,Very Unhealthy
1.19,78.86,92.77,46.24,168.4594737,Unhealthy
0.87,60.5,110.69,37.03,205.9394681,Very Unhealthy
2.9,97.26,136.51,56.25,233.1328723,Very Unhealthy
1.92,86.34,147.13,45.51,244.317766,Very Unhealthy
3.6,129.58,132.71,44.43,229.1307447,Very Unhealthy
4.38,141.62,125.08,38.66,221.0948936,Very Unhealthy
3.24,108.75,130.42,60.77,226.7189362,Very Unhealthy
3.1,104.63,135.34,58.78,231.9006383,Very Unhealthy
4.61,178.68,61.55,45.8,139.4476768,Unhealthy for sensitive groups
1.11,88.28,140.38,39.8,237.2087234,Very Unhealthy
1.31,95.64,52.24,43.1,95.35565217,Moderate
1.21,74.46,57.01,34.96,72.79434783,Moderate
0.65,53.5,90.75,30.47,163.25,Unhealthy
1.27,77.64,109.29,28,204.465,Very Unhealthy
1.58,97.5,97.43,39.61,180.4773684,Unhealthy
1.13,63.39,74.23,32.72,112.305,Unhealthy for sensitive groups
1.05,65.36,80.26,36.62,133.41,Unhealthy for sensitive groups
1.03,69.32,111.33,29.44,206.6135106,Very Unhealthy
1.15,62.6,73.72,21.54,110.52,Unhealthy for sensitive groups
